aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,adpctdif1,adpctdif2,chinr,clrcoeff,clrcounc,decnr,diffmaglim,distnr,exptime,field,magnr,magzpsci,magzpscirms,magzpsciunc,procstatus,programid,ranr,rcid,rfid,scibckgnd,sciinpseeing,scisigpix,sharpnr,sigmagnr
"","ZTF18absrlhv2634433504815",true,64.54181,false,"",100,100,100,"",1,false,-1,100,100,60388.43350689998,"ZTF18absrlhv",2642473586215015000,2634433504815,252.4097525,"","ztf",0.08050599694252014,0.1050570011138916,-99999,-0.03764279931783676,0.00003761120024137199,-99999,20.007200241088867,-99999,30,824,-99999,26.106399536132812,0.0422791987657547,0.00001945549956872128,"61",1,-99999,48,824120148,167.49600219726562,2.296600103378296,7.680580139160156,-99999,-99999
"","ZTF18absrlhv2644307035015",true,64.5418245,false,"",0.07717015594244003,0.021023773371916195,0.03193216813680599,"",1,false,1,18.822187423706055,17.864134997453306,60398.30703700008,"ZTF18absrlhv",2644404605015015000,2644307035015,252.4097821,"","ztf",0.08023600280284882,0.10829199850559235,3.934999942779541,-0.021046899259090424,0.00004303250170778483,64.54180145263672,19.532499313354492,0.2219400703907013,30,824,18.444000244140625,26.260000228881836,0.041565701365470886,0.00002109870001731906,"0",1,252.40965270996094,50,824120150,190.28199768066406,2.9504001140594482,11.850500106811523,0.16300000250339508,0.04100000113248825
"","ZTF18absrlhv2644307033315",true,64.5417967,false,"",100,100,100,"",1,false,-1,100,100,60398.30703700008,"ZTF18absrlhv",2644497406215015000,2644307033315,252.4097149,"","ztf",0.07852599769830704,0.1006150022149086,-99999,-0.02872519940137863,0.00003430679862503894,-99999,19.569700241088867,-99999,30,824,-99999,26.194900512695312,0.03650499880313873,0.000015947900465107523,"61",1,-99999,33,824120133,188.02200317382812,2.764699935913086,10.757399559020996,-99999,-99999
"","ZTF18absrlhv2683351205115",true,64.5418176,false,"",100,100,100,"",3,false,-1,100,100,60437.35120370006,"ZTF18absrlhv",2683369346215015000,2683351205115,252.4097313,"","ztf",0.07578399777412415,0.10770100355148315,-99999,0.18526199460029602,0.0000119103997349157,-99999,19.641000747680664,-99999,30,824,-99999,25.465099334716797,0.02550089918076992,0.00000239640007748676,"61",1,-99999,51,824120351,213.88999938964844,1.8651000261306763,6.60807991027832,-99999,-99999
"","ZTF18absrlhv2669444234815",true,64.5418176,false,"",100,100,100,"",2,false,-1,100,100,60423.444236100186,"ZTF18absrlhv",2683369346215015000,2669444234815,252.4097313,"","ztf",0.06731300055980682,0.09344399720430374,-99999,0.10047800093889236,0.000013073000445729122,-99999,19.673500061035156,-99999,30,824,-99999,26.062299728393555,0.028060900047421455,0.000007822300176485442,"61",1,-99999,48,824120248,181.93600463867188,1.6953999996185303,11.696599960327148,-99999,-99999
"","ZTF18absrlhv2680360965115",true,64.5418542,false,"",100,100,100,"",2,false,-1,100,100,60434.360960599966,"ZTF18absrlhv",2695431896215015000,2680360965115,252.4096264,"","ztf",0.080935999751091,0.09113600105047226,-99999,0.10062000155448914,0.000008978369805845432,-99999,20.58690071105957,-99999,30,824,-99999,26.13360023498535,0.02451230026781559,0.0000052100999710091855,"61",1,-99999,51,824120251,194.65699768066406,1.6050000190734863,5.43779993057251,-99999,-99999
"","ZTF18absrlhv2677359523315",true,64.541823,false,"",100,100,100,"",1,false,-1,100,100,60431.359525499865,"ZTF18absrlhv",2693424946215015000,2677359523315,252.4096924,"","ztf",0.09081699699163437,0.09432599693536758,-99999,-0.0822954997420311,0.00001861549935711082,-99999,20.92449951171875,-99999,30,824,-99999,26.25589942932129,0.03467730060219765,0.000011259900020377245,"61",1,-99999,33,824120133,201.0780029296875,2.422600030899048,3.8702800273895264,-99999,-99999
"","ZTF18absrlhv2669444235115",true,64.5418284,false,"",100,100,100,"",2,false,-1,100,100,60423.444236100186,"ZTF18absrlhv",2683389516215015000,2669444235115,252.4096929,"","ztf",0.0678969994187355,0.09198900312185287,-99999,0.0998028963804245,0.000010239899893349502,-99999,19.773300170898438,-99999,30,824,-99999,26.204299926757812,0.026181500405073166,0.000005937999958405271,"61",1,-99999,51,824120251,200.55599975585938,1.6217999458312988,12.975500106811523,-99999,-99999
"","ZTF18absrlhv2650437236215",true,64.5418036,false,"",0.03304928168654442,100,0.013251834477100549,"",1,false,1,18.844833374023438,17.85261831892353,60404.43723380007,"ZTF18absrlhv",2680431665015015000,2650437236215,252.4098565,"","ztf",0.07071100175380707,0.09756799787282944,4.1579999923706055,-0.056132201105356216,0.00001205080025101779,64.54180908203125,20.584999084472656,0.33328157663345337,30,825,18.409000396728516,26.227100372314453,0.02792629972100258,0.000007486699814762687,"0",1,252.40963745117188,62,825120162,94.2842025756836,2.5434000492095947,4.531489849090576,0.09000000357627869,0.03999999910593033
"","ZTF18absrlhv2650499945015",true,64.5418036,false,"",0.038596011698246,100,0.00989009692186167,"",2,false,1,18.84392738342285,17.3655726791568,60404.49994210014,"ZTF18absrlhv",2680431665015015000,2650499945015,252.4098565,"","ztf",0.07638200372457504,0.09443099796772003,4.257999897003174,0.09308739751577377,0.000007371099854935892,64.54180145263672,20.411800384521484,0.4072232246398926,30,824,17.687000274658203,26.275299072265625,0.02228429913520813,0.000004693200025940314,"0",1,252.4095916748047,50,824120250,204.98399353027344,1.757099986076355,7.475979804992676,0.2720000147819519,0.052000001072883606
"","ZTF18absrlhv2644497406215",true,64.5417645,false,"",0.055178552865982056,100,0.022726640647038065,"",1,false,1,18.79576301574707,17.832675362331642,60398.49740740005,"ZTF18absrlhv",2674431416215015000,2644497406215,252.4095968,"","ztf",0.06950300186872482,0.10162100195884705,4.1579999923706055,-0.04470830038189888,0.00002593280078144744,64.54180908203125,19.94659996032715,0.16876813769340515,30,825,18.409000396728516,26.223100662231445,0.03707990050315857,0.000014384499991138,"0",1,252.40963745117188,62,825120162,95.50550079345703,2.511899948120117,8.76377010345459,0.09000000357627869,0.03999999910593033
"","ZTF18absrlhv2644404605015",true,64.5417842,false,"",0.05547482892870903,100,0.01510856858388409,"",2,false,1,18.75398826599121,17.341806637772933,60398.404606500175,"ZTF18absrlhv",2669444235015015000,2644404605015,252.4097457,"","ztf",0.06929299980401993,0.09877099841833115,4.257999897003174,0.11186400055885315,0.000010250099876429886,64.54180145263672,19.755399703979492,0.24358682334423065,30,824,17.687000274658203,26.257699966430664,0.02642510086297989,0.000006504799785034265,"0",1,252.4095916748047,50,824120250,201.4340057373047,3.023699998855591,10.620499610900879,0.2720000147819519,0.052000001072883606
"","ZTF18absrlhv2637392845015",true,64.5417518,false,"",0.08702696114778519,0.023365363265931416,0.03415317065179564,"",1,false,1,18.91852378845215,17.902966811664932,60391.392847199924,"ZTF18absrlhv",2667343905015015000,2637392845015,252.4096177,"","ztf",0.07348500192165375,0.10264500230550766,3.934999942779541,-0.010967000387609005,0.00003976740117650479,64.54180145263672,19.569400787353516,0.18786567449569702,30,824,18.444000244140625,26.287399291992188,0.04094159975647926,0.000020063600459252484,"0",1,252.40965270996094,50,824120150,196.51100158691406,3.175100088119507,13.753299713134766,0.16300000250339508,0.04100000113248825
"","ZTF18absrlhv2683389516215",true,64.5418182,false,"",0.061287771910429,100,0.012612336811799898,"",2,false,1,19.125286102294922,17.40884041975773,60437.38951390004,"ZTF18absrlhv",2683416365015015000,2683389516215,252.4097032,"","ztf",0.0704139992594719,0.10405900329351425,3.872999906539917,0.10669700056314468,0.000008865219569997862,64.54183197021484,20.231199264526367,0.1675102859735489,30,825,17.659000396728516,26.118999481201172,0.023970400914549828,0.000005579000116995303,"0",1,252.40960693359375,62,825120262,181.00399780273438,2.288100004196167,5.89162015914917,0.3610000014305115,0.054999999701976776
"","ZTF18absrlhv2683369346215",true,64.5418567,false,"",0.05496465042233467,100,0.012491746340962725,"",3,false,1,18.56772232055664,16.959071537120014,60437.369340300094,"ZTF18absrlhv",2697409496215015000,2683369346215,252.4097522,"","ztf",0.0745140016078949,0.10859999805688858,3.681999921798706,0.193448007106781,0.00000956760959525127,64.5418472290039,19.630199432373047,0.1362413465976715,30,825,17.23900032043457,25.442800521850586,0.021573100239038467,0.000001972699919861043,"0",1,252.40966796875,62,825120362,210.94000244140625,2.0820000171661377,6.184730052947998,0.3869999945163727,0.05700000002980232
"","ZTF18absrlhv2682470555015",true,64.5417783,false,"",0.053187865763902664,100,0.012242216925840248,"",2,false,1,18.99786949157715,17.402988258326864,60436.47055559978,"ZTF18absrlhv",2696393655015015000,2682470555015,252.4097294,"","ztf",0.07275299727916718,0.09613700211048126,4.257999897003174,0.09817200154066086,0.000007349210136453621,64.54180145263672,20.067699432373047,0.2261582314968109,30,824,17.687000274658203,26.253700256347656,0.022235600277781487,0.00000466009987576399,"0",1,252.4095916748047,50,824120250,199.45700073242188,2.2476000785827637,8.11758041381836,0.2720000147819519,0.052000001072883606
"","ZTF18absrlhv2674431416115",true,64.5418182,false,"",100,100,100,"",1,false,-1,100,100,60428.43141200021,"ZTF18absrlhv",2683416365015015000,2674431416115,252.4097032,"","ztf",0.07596299797296524,0.09510300308465958,-99999,-0.058893099427223206,0.00003494249904179014,-99999,19.926300048828125,-99999,30,825,-99999,26.109500885009766,0.0364518016576767,0.00001911000072141178,"61",1,-99999,61,825120161,126.70700073242188,2.365499973297119,8.619190216064453,-99999,-99999
"","ZTF18absrlhv2629429526215",true,64.541818,false,"",0.0770673081278801,100,0.016230148512858394,"",2,false,1,19.093616485595703,17.402247245546384,60383.42952550016,"ZTF18absrlhv",2659409346215015000,2629429526215,252.4097655,"","ztf",0.09537900239229202,0.12265600264072418,3.872999906539917,0.10574299842119217,0.000024346800273633562,64.54183197021484,19.76059913635254,0.2604617178440094,30,825,17.659000396728516,26.01289939880371,0.03999369964003563,0.00001532379974378273,"0",1,252.40960693359375,62,825120262,163.39500427246094,3.323199987411499,6.261849880218506,0.3610000014305115,0.054999999701976776
"","ZTF18absrlhv2658468565115",true,64.5418543,false,"",100,100,100,"",1,false,-1,100,100,60412.46856479999,"ZTF18absrlhv",2683433316215015000,2658468565115,252.4096851,"","ztf",0.08653800189495087,0.09544800221920013,-99999,-0.05938800051808357,0.000018879700292018242,-99999,20.710399627685547,-99999,30,824,-99999,26.22369956970215,0.035203300416469574,0.000010737699994933791,"61",1,-99999,51,824120151,164.89500427246094,2.1835999488830566,5.255350112915039,-99999,-99999
