aid,diffmaglim,fid,mjd,oid,sid,tid
"",21.0997,1,60466.221770800184,"ZTF18absrlhv","","ztf"
"",21.1634,1,60466.22511570016,"ZTF18absrlhv","","ztf"
"",21.1466,1,60466.22818290023,"ZTF18absrlhv","","ztf"
"",21.1763,1,60466.232800900005,"ZTF18absrlhv","","ztf"
"",21.1218,1,60466.23587960005,"ZTF18absrlhv","","ztf"
"",21.1438,1,60466.24049769994,"ZTF18absrlhv","","ztf"
"",21.142,1,60466.24357639998,"ZTF18absrlhv","","ztf"
"",21.1566,1,60466.24819440022,"ZTF18absrlhv","","ztf"
"",21.167,1,60466.2512730998,"ZTF18absrlhv","","ztf"
"",21.1756,1,60466.255891200155,"ZTF18absrlhv","","ztf"
"",21.1759,1,60466.25895830011,"ZTF18absrlhv","","ztf"
"",21.0792,1,60466.2635764,"ZTF18absrlhv","","ztf"
"",21.1604,1,60466.266655100044,"ZTF18absrlhv","","ztf"
"",21.1253,1,60466.27127309982,"ZTF18absrlhv","","ztf"
"",21.1117,1,60466.27435189998,"ZTF18absrlhv","","ztf"
"",20.9577,1,60466.27896990022,"ZTF18absrlhv","","ztf"
"",21.1317,1,60466.282048599795,"ZTF18absrlhv","","ztf"
"",21.0489,1,60466.28666670015,"ZTF18absrlhv","","ztf"
"",21.1187,1,60466.289733800106,"ZTF18absrlhv","","ztf"
"",21.0871,1,60466.292951399926,"ZTF18absrlhv","","ztf"
"",21.1475,1,60466.29938660003,"ZTF18absrlhv","","ztf"
"",21.1981,1,60466.304004599806,"ZTF18absrlhv","","ztf"
"",21.1809,1,60466.30707179988,"ZTF18absrlhv","","ztf"
"",21.0954,1,60466.31168980012,"ZTF18absrlhv","","ztf"
"",21.1322,1,60466.31476850016,"ZTF18absrlhv","","ztf"
"",21.1589,1,60466.31938660005,"ZTF18absrlhv","","ztf"
"",21.1839,1,60466.322465300094,"ZTF18absrlhv","","ztf"
"",21.1857,1,60466.32708329987,"ZTF18absrlhv","","ztf"
"",21.1725,1,60466.33015049994,"ZTF18absrlhv","","ztf"
"",21.2013,1,60466.33476850018,"ZTF18absrlhv","","ztf"
"",21.1776,1,60466.337835600134,"ZTF18absrlhv","","ztf"
"",21.1947,1,60466.34246530011,"ZTF18absrlhv","","ztf"
"",21.1666,1,60466.34553240007,"ZTF18absrlhv","","ztf"
"",21.1159,1,60466.35015049996,"ZTF18absrlhv","","ztf"
"",21.1197,1,60466.35321759991,"ZTF18absrlhv","","ztf"
"",21.1703,1,60466.35783560015,"ZTF18absrlhv","","ztf"
"",21.1595,1,60466.36091439985,"ZTF18absrlhv","","ztf"
"",21.2232,1,60466.36553240009,"ZTF18absrlhv","","ztf"
"",21.1771,1,60466.36859950004,"ZTF18absrlhv","","ztf"
"",21.167,1,60466.37321759993,"ZTF18absrlhv","","ztf"
"",21.1558,1,60466.376296299975,"ZTF18absrlhv","","ztf"
"",21.2035,1,60466.380914399866,"ZTF18absrlhv","","ztf"
"",21.1553,1,60466.38399309991,"ZTF18absrlhv","","ztf"
"",21.1821,1,60466.38861110015,"ZTF18absrlhv","","ztf"
"",21.1753,1,60466.3916782001,"ZTF18absrlhv","","ztf"
"",21.1409,1,60466.396296299994,"ZTF18absrlhv","","ztf"
"",21.1522,1,60466.39936339995,"ZTF18absrlhv","","ztf"
"",21.138,1,60466.40398149984,"ZTF18absrlhv","","ztf"
"",21.1499,1,60466.40706019988,"ZTF18absrlhv","","ztf"
"",21.1671,1,60466.41167820012,"ZTF18absrlhv","","ztf"
"",21.1489,1,60466.414745400194,"ZTF18absrlhv","","ztf"
"",21.1941,1,60466.41936339997,"ZTF18absrlhv","","ztf"
"",21.1407,1,60466.42244210001,"ZTF18absrlhv","","ztf"
"",21.1711,1,60466.4270601999,"ZTF18absrlhv","","ztf"
"",21.1482,1,60466.430138899945,"ZTF18absrlhv","","ztf"
"",21.119,1,60466.43783560023,"ZTF18absrlhv","","ztf"
"",21.101,1,60466.44245370012,"ZTF18absrlhv","","ztf"
"",21.1206,1,60466.44552080007,"ZTF18absrlhv","","ztf"
"",21.0501,1,60466.45013889996,"ZTF18absrlhv","","ztf"
"",21.0906,1,60466.45321760001,"ZTF18absrlhv","","ztf"
"",19.6176,1,60485.26406250009,"ZTF18absrlhv","","ztf"
"",19.5931,1,60513.24311339995,"ZTF18absrlhv","","ztf"
"",20.4118,1,60524.32407409977,"ZTF18absrlhv","","ztf"
"",17.4959,1,60563.260937499814,"ZTF18absrlhv","","ztf"
"",16.5971,1,60563.30038189981,"ZTF18absrlhv","","ztf"
"",18.9948,1,60566.30103009986,"ZTF18absrlhv","","ztf"
"",19.282,1,60568.28168979986,"ZTF18absrlhv","","ztf"
"",18.9893,1,60571.27901619999,"ZTF18absrlhv","","ztf"
"",19.1069,1,60595.12120370008,"ZTF18absrlhv","","ztf"
"",18.9235,1,60595.12216439983,"ZTF18absrlhv","","ztf"
"",19.7465,1,60597.17737270007,"ZTF18absrlhv","","ztf"
"",19.5094,1,60597.19059030013,"ZTF18absrlhv","","ztf"
"",18.3114,1,60687.536840300076,"ZTF18absrlhv","","ztf"
"",18.8732,1,60687.54730319977,"ZTF18absrlhv","","ztf"
"",18.303,1,60689.5358564998,"ZTF18absrlhv","","ztf"
"",19.0528,1,60691.47458329983,"ZTF18absrlhv","","ztf"
"",18.8085,1,60693.44680560008,"ZTF18absrlhv","","ztf"
"",19.3249,1,60714.51565970015,"ZTF18absrlhv","","ztf"
"",16.8184,1,60723.49876159988,"ZTF18absrlhv","","ztf"
"",17.0957,1,60723.49971059989,"ZTF18absrlhv","","ztf"
"",19.4879,1,60725.53938659979,"ZTF18absrlhv","","ztf"
"",19.4048,1,60733.34721060004,"ZTF18absrlhv","","ztf"
"",19.2318,1,60735.39063660009,"ZTF18absrlhv","","ztf"
"",18.0033,1,60735.40638889978,"ZTF18absrlhv","","ztf"
"",19.3614,1,60750.38743059989,"ZTF18absrlhv","","ztf"
"",18.8124,1,60753.490393499844,"ZTF18absrlhv","","ztf"
"",18.7463,1,60753.49134259997,"ZTF18absrlhv","","ztf"
"",18.9172,1,60760.449224499986,"ZTF18absrlhv","","ztf"
"",19.8143,1,60771.32811339991,"ZTF18absrlhv","","ztf"
"",19.1564,1,60771.36747690011,"ZTF18absrlhv","","ztf"
"",19.7454,1,60781.457661999855,"ZTF18absrlhv","","ztf"
"",20.0185,1,60811.456192099955,"ZTF18absrlhv","","ztf"
"",19.4312,1,60830.41467589978,"ZTF18absrlhv","","ztf"
"",20.386,1,60834.42769679986,"ZTF18absrlhv","","ztf"
"",19.0067,1,60836.428379599936,"ZTF18absrlhv","","ztf"
"",19.4506,1,60836.44249999989,"ZTF18absrlhv","","ztf"
"",19.7694,1,60838.28206019988,"ZTF18absrlhv","","ztf"
